depth,opponent,games,minimax_wins,opponent_wins,draws,minimax_win_pct,opponent_win_pct,avg_moves,minimax_mean_ms,minimax_variance_ms2,minimax_samples,opponent_mean_ms,opponent_variance_ms2,opponent_samples
1,Random,100,100,0,0,100.0,0.0,16.82,9.602303020787003,6.671270993824968,866,4.374533613968219,1.4450776117299686,816
1,Baseline,100,93,7,0,93.0,7.000000000000001,57.31,13.107369984412456,40.2951551247969,2887,3.9003486002113608,13.84951731433663,2844
2,Random,100,100,0,0,100.0,0.0,19.12,63.59594018043176,321.0013830191346,981,4.3221792620850135,1.6141869232505497,931
2,Baseline,100,99,1,0,99.0,1.0,55.65,56.926837281796026,1707.8863245443742,2807,4.465665679478446,11.839460237208064,2758
3,Random,100,100,0,0,100.0,0.0,22.94,219.45770050170728,10123.491844280608,1172,4.7385963645294895,3.27309094444414,1122
3,Baseline,100,89,11,0,89.0,11.0,57.85,234.3295175068686,38221.8534582333,2912,4.785938382527667,14.057163380764116,2873
4,Random,100,100,0,0,100.0,0.0,30.66,1235.900101980751,800785.6800709735,1558,4.310503637262671,5.398177973450747,1508
4,Baseline,100,93,7,0,93.0,7.000000000000001,58.07,1080.9569514290663,1202949.8131823263,2925,4.357135220343031,14.473115735664882,2882
