matchup_type,game_num,num_moves,total_time_sec
Random-Random,1,26,0.0060140830028103665
Random-Random,2,48,0.01000291600212222
Random-Random,3,49,0.005324833000486251
Random-Random,4,50,0.006893541998579167
Random-Random,5,49,0.00841325000510551
Random-Random,6,22,0.00597554200066952
Random-Random,7,60,0.006783124998037238
Random-Random,8,38,0.010323542002879549
Random-Random,9,44,0.004849167002248578
Random-Random,10,49,0.0077452090044971555
Random-Random,11,46,0.007273417002579663
Random-Random,12,32,0.0049185000025318
Random-Random,13,58,0.007683625000936445
Random-Random,14,35,0.00584487499872921
Random-Random,15,52,0.006951957999262959
Random-Random,16,49,0.00785537499905331
Random-Random,17,32,0.006276625004829839
Random-Random,18,25,0.006085499997425359
Random-Random,19,53,0.007332209002925083
Random-Random,20,41,0.0065751660004025325
Random-Random,21,55,0.006908208997629117
Random-Random,22,58,0.0064453340019099414
Random-Random,23,34,0.008218541996029671
Random-Random,24,52,0.008088582995696925
Random-Random,25,53,0.0065014170031645335
Random-Random,26,66,0.010493374997167848
Random-Random,27,40,0.006463208002969623
Random-Random,28,41,0.009125415999733377
Random-Random,29,22,0.007242459003464319
Random-Random,30,27,0.006520666000142228
Random-Random,31,44,0.006796540998038836
Random-Random,32,27,0.010263583004416432
Random-Random,33,46,0.0047153750056168064
Random-Random,34,44,0.00631387500470737
Random-Random,35,51,0.0073995829952764325
Random-Random,36,33,0.0057452499968349
Random-Random,37,50,0.006288249998760875
Random-Random,38,24,0.006528582998726051
Random-Random,39,55,0.008941332998801954
Random-Random,40,51,0.0049590829949011095
Random-Random,41,20,0.007059333001961932
Random-Random,42,48,0.006414417002815753
Random-Random,43,50,0.008093541997368447
Random-Random,44,40,0.008508957995218225
Random-Random,45,49,0.007277624994458165
Random-Random,46,44,0.010056291001092177
Random-Random,47,50,0.008287000004202127
Random-Random,48,47,0.006905792004545219
Random-Random,49,39,0.006834750005509704
Random-Random,50,65,0.009038749994942918
Random-Random,51,48,0.0063092080017668195
Random-Random,52,48,0.007723165996139869
Random-Random,53,46,0.006412709000869654
Random-Random,54,44,0.008781666998402216
Random-Random,55,22,0.008122375002130866
Random-Random,56,39,0.0054156249971129
Random-Random,57,5,0.002413082998828031
Random-Random,58,66,0.009719542002130765
Random-Random,59,23,0.0056026669990387745
Random-Random,60,15,0.005633374996250495
Random-Random,61,50,0.011514417004946154
Random-Random,62,34,0.007129625002562534
Random-Random,63,37,0.007048042003589217
Random-Random,64,40,0.006687709006655496
Random-Random,65,28,0.007262624996656086
Random-Random,66,13,0.005502458996488713
Random-Random,67,50,0.007930959000077564
Random-Random,68,47,0.006595250000827946
Random-Random,69,50,0.007620125004905276
Random-Random,70,66,0.006268625002121553
Random-Random,71,49,0.008457832998828962
Random-Random,72,41,0.0071995830003288575
Random-Random,73,26,0.006034750003891531
Random-Random,74,49,0.00597508400096558
Random-Random,75,56,0.011019292003766168
Random-Random,76,42,0.007276333999470808
Random-Random,77,44,0.00648295899736695
Random-Random,78,48,0.009289791996707208
Random-Random,79,47,0.006843125003797468
Random-Random,80,58,0.007342165998124983
Random-Random,81,17,0.007939915994938929
Random-Random,82,23,0.005772958000306971
Random-Random,83,46,0.0059117499986314215
Random-Random,84,46,0.0066489589953562245
Random-Random,85,45,0.005803708001621999
Random-Random,86,33,0.007040583004709333
Random-Random,87,45,0.00825020900083473
Random-Random,88,13,0.005313499998010229
Random-Random,89,49,0.005834832998516504
Random-Random,90,32,0.007963708994793706
Random-Random,91,48,0.006119042001955677
Random-Random,92,49,0.00744091700471472
Random-Random,93,52,0.007104833995981608
Random-Random,94,19,0.0063399169957847334
Random-Random,95,49,0.007308624997676816
Random-Random,96,53,0.0061157499949331395
Random-Random,97,26,0.007882749996497296
Random-Random,98,55,0.010275459004333243
Random-Random,99,59,0.008013958002266008
Random-Random,100,50,0.005948041994997766
Baseline-Random,1,13,0.006169042004330549
Baseline-Random,2,14,0.006278124994423706
Baseline-Random,3,21,0.009634958994865883
Baseline-Random,4,22,0.007237666999571957
Baseline-Random,5,33,0.006597667001187801
Baseline-Random,6,18,0.006287999996857252
Baseline-Random,7,27,0.008332792000146583
Baseline-Random,8,22,0.006960625003557652
Baseline-Random,9,17,0.007448707998264581
Baseline-Random,10,20,0.005872374997125007
Baseline-Random,11,17,0.005557750002481043
