board_size,game_num,num_moves,total_time_sec,avg_move_time_ms,player1_avg_time_ms,player2_avg_time_ms
3,1,5,0.0004909589988528751,0.09819179977057502,0.10523599970232074,0.06489549923571758
3,2,2,0.00017412500164937228,0.08706250082468614,0.09387500176671892,0.07154099876061082
3,3,9,0.00045958400005474687,0.05106488889497188,0.044725001498591155,0.04771874955622479
3,4,2,0.00016058400069596246,0.08029200034798123,0.08637500286567956,0.06820799899287522
3,5,6,0.00031112499709706753,0.05185416618284459,0.05497199890669435,0.03683333246347805
3,6,8,0.00031016700086183846,0.03877087510772981,0.038416248571593314,0.027906249670195393
3,7,11,0.0004766670026583597,0.0433333638780327,0.03906266647391021,0.03609999985201284
3,8,11,0.0003557500021997839,0.032340909290889445,0.029222167844030384,0.024974798725452274
3,9,10,0.0003910829982487485,0.03910829982487485,0.036466598976403475,0.031058199238032103
3,10,22,0.0007342090029851533,0.033373136499325155,0.0308901825602251,0.02801136328013275
3,11,7,0.0003019170035258867,0.0431310005036981,0.037426998460432515,0.035291663759077586
3,12,22,0.0007007500025792979,0.031852272844513536,0.029746364320586013,0.026439546094149013
3,13,3,0.00023404099920298904,0.07801366640099634,0.07633350105606951,0.07200000254670158
3,14,9,0.000391708999814,0.04352322220155555,0.03931660030502826,0.036249999538995326
3,15,7,0.0003724999987753108,0.053214285539330115,0.050093500249204226,0.04370833388141667
3,16,11,0.0003774170036194846,0.03431063669268042,0.03327083444067588,0.0248500015004538
3,17,7,0.0003353339998284355,0.047904857118347924,0.04176050060777925,0.04091666778549552
3,18,8,0.0002965829989989288,0.0370728748748661,0.03524000021570828,0.026833249648916535
3,19,7,0.00039641700277570635,0.05663100039652948,0.05021875040256418,0.05208333216918012
3,20,20,0.0008266660006484017,0.041333300032420084,0.03958340021199547,0.03542930062394589
3,21,6,0.000356707998435013,0.059451333072502166,0.061666333446434386,0.04554100208527719
3,22,4,0.00029641700530191883,0.07410425132547971,0.07785449633956887,0.06464600301114842
3,23,8,0.0003581670025596395,0.04477087531995494,0.043301997720845975,0.03280225064372644
3,24,7,0.0003652079976745881,0.05217257109636973,0.04693724986282177,0.04693066633384054
3,25,8,0.0003452500022831373,0.04315625028539216,0.042281249989173375,0.03280199962318875
3,26,2,0.0001694590027909726,0.0847295013954863,0.09116699948208407,0.07208299939520657
