depth,game_num,winner,num_moves,minimax_player,minimax_avg_time_ms,baseline_avg_time_ms,total_time_sec
1,1,1,29,1,1.5931415997329168,0.35073814329475034,0.029141958002583124
1,2,2,8,2,0.9639482505008345,0.3998955016868422,0.005492333999427501
1,3,1,11,1,1.1640693325413547,0.4023333982331678,0.009057333998498507
1,4,2,28,2,1.3816754996826472,0.3503958567827275,0.024552791997848544
1,5,1,9,1,1.235658401856199,0.4416664996824693,0.00799008300236892
1,6,2,26,2,1.1080543850906766,0.3688910762251068,0.01954858400131343
1,7,1,7,1,1.3100939995638328,0.44518066473150003,0.006612083001527935
1,8,2,20,2,1.009170799079584,0.3410456993151456,0.013675792004505638
1,9,1,15,1,1.1041508760172292,0.3699880003945769,0.011575707998417784
1,10,2,20,2,1.3300501006597187,0.4206126002827659,0.017791957994631957
1,11,1,21,1,1.312314272085628,0.45993770108907484,0.019257542000559624
1,12,2,20,2,1.3985042984131724,0.45455420040525496,0.018792124996252824
1,13,2,30,1,1.1179777327924967,0.22006959916325286,0.020357875000627246
1,14,2,20,2,1.5041000006021932,0.5605082988040522,0.020853375004662666
1,15,2,8,1,1.0632397479639621,0.32397950053564273,0.0055806250020395964
1,16,2,6,2,0.9678326653859889,0.43995833160200465,0.0042412919938215055
1,17,2,30,1,1.0120110663895805,0.20485000034871823,0.018548416999692563
1,18,2,6,2,0.9764999995240942,0.4456663349022468,0.004285165996407159
1,19,1,17,1,1.381476999894302,0.49106275037047453,0.01652549999562325
1,20,2,20,2,1.4806790990405716,0.4435667004145216,0.019503708004776854
1,21,1,27,1,1.25922614357218,0.34928523102560294,0.0224393339958624
1,22,1,19,2,1.3604815540020354,0.38213779916986823,0.016242042001977097
1,23,1,21,1,1.2792310907653617,0.3718874002515804,0.01800054199702572
1,24,2,18,2,1.580823889526073,0.607504779408272,0.019883041000866797
1,25,1,9,1,1.2549585997476242,0.45927075007057283,0.00815820799471112
1,26,2,6,2,0.9601663332432508,0.4440416644987029,0.0042317080005886964
1,27,1,7,1,1.2923852482344955,0.45093066728441045,0.0065599160006968305
1,28,2,18,2,1.5233748894792773,0.4766665555911863,0.018235750001622364
1,29,2,8,1,1.085103998775594,0.31856250097916927,0.005650375002005603
1,30,2,8,2,0.8975310011010151,0.39302099867200013,0.005195416997594293
1,31,1,11,1,1.2684514998303105,0.44954159966437146,0.009981167000660207
1,32,2,8,2,0.9125315009441692,0.39146875315054785,0.005249750000075437
1,33,1,9,1,1.0870084006455727,0.37324974982766435,0.006973999996262137
1,34,2,18,2,1.6887358886176824,0.598583333258931,0.020811959002458025
1,35,1,7,1,1.2706040015473263,0.4381386679597199,0.006419082994398195
1,36,2,12,2,1.2120626682493214,0.5013469999539666,0.010353834004490636
1,37,1,7,1,1.2886874992545927,0.4558193346989962,0.006560916997841559
1,38,2,30,2,1.2717334660313402,0.3274999335796262,0.02435687499382766
1,39,2,30,1,1.0426803331938572,0.21501400090831643,0.01913320899620885
1,40,2,24,2,1.362729083969801,0.4853228316884876,0.02242629100510385
1,41,1,9,1,1.0624997987179086,0.36681249912362546,0.006819916001404636
1,42,2,18,2,1.4261388884430442,0.46332411147886887,0.017213499995705206
1,43,1,7,1,1.2289789992792066,0.42465300308928516,0.006211584004631732
1,44,2,18,2,1.6963611107914605,0.6015741107856027,0.020914749999064952
1,45,1,17,1,1.5038100003342454,0.53823937287234,0.018016459005593788
1,46,2,20,2,1.559429099143017,0.5719334010791499,0.021539207999012433
1,47,1,7,1,1.1663854984362843,0.4275556663439299,0.005969042002107017
1,48,2,14,2,1.279047571837769,0.4871305728946546,0.012485500003094785
1,49,1,23,1,1.317604248470161,0.3705153642592698,0.02014745800261153
1,50,2,8,2,0.9121980001509655,0.3893332523148274,0.005238290999841411
1,51,1,23,1,1.2679132499518648,0.27857554497049103,0.018536666997533757
1,52,2,6,2,0.9544026688672602,0.4470973338660163,0.0042249580001225695
1,53,1,23,1,1.2169896660149486,0.33598099914591084,0.018553665999206714
1,54,2,8,2,0.9293229995819274,0.39184375054901466,0.005317708004440647
1,55,1,19,1,1.0180250996199902,0.2993796669114899,0.013008624999201857
1,56,2,16,2,1.484010501371813,0.44582287500816165,0.015644833001715597
1,57,2,10,1,1.0847002020454966,0.3319332012324594,0.007135249994462356
1,58,2,10,2,1.5163913994911127,0.5953582018264569,0.01063987500674557
1,59,2,30,1,1.2168056001731504,0.363297265721485,0.023951041002874263
1,60,2,6,2,0.9751946684749176,0.44277766573941335,0.004272416001185775
1,61,2,30,1,1.0532861328101717,0.2202667334737877,0.019417625000642147
1,62,2,12,2,1.1977568331834239,0.4888541661784984,0.01019158300186973
1,63,1,7,1,1.2809377494704677,0.44316666753729805,0.006489999999757856
1,64,2,10,2,1.3219581989687867,0.5459248000988737,0.00939370800188044
1,65,1,11,1,1.132402832202691,0.39336699846899137,0.00883024999347981
1,66,2,10,2,1.2788332009222358,0.4990665998775512,0.008939957995607983
1,67,1,15,1,1.1301873773845728,0.40466657290900393,0.012013250001473352
1,68,2,6,2,0.9686530005031576,0.44427799972860765,0.0042569579964037985
1,69,1,17,1,1.082546443083427,0.37901549967500614,0.01296212499437388
1,70,2,6,2,0.9730416689611351,0.43909700131431845,0.004254542000126094
1,71,1,17,1,1.3627593345720217,0.464635625576193,0.016187540997634642
1,72,1,31,2,1.0570888664612237,0.26511718715482857,0.02041379200090887
1,73,1,17,1,1.1999030005730067,0.4164529982517706,0.014250540996727068
1,74,2,36,2,1.1266457780341927,0.27631022183211623,0.025549166995915584
